"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PSMB2",654.645846159358,-0.64347704918673,0.142250022344356,-4.52356378285139,6.08069836106369e-06,0.000533164242136451
"TEKT2",36.2544293938319,0.900772771530061,0.171212304855302,5.26114505783531,1.43161031742172e-07,4.89117069828083e-05
"MEAF6",545.606275288004,-0.455958860285327,0.152151613818859,-2.99674021747912,0.00272883147824636,0.0274350708132572
"SF3A3",492.633698684957,-0.284114708385735,0.0777873138078778,-3.65245558019207,0.000259744537337904,0.00588912786257197
"UTP11",140.265817673937,-0.459430661043808,0.133871690626233,-3.43187315327577,0.000599427855101975,0.0101177703379052
"GJA9-MYCBP",18.0142874039193,1.09340911097167,0.232553618171955,4.70175058795765,2.57940453683603e-06,0.000307912531939415
"PPT1",953.75215071729,-0.429813162560118,0.11068585525922,-3.88318057039465,0.000103098945714781,0.00330583933379304
"CITED4",114.779949998663,-0.441015718710301,0.157936821356568,-2.79235529069334,0.00523258666335329,0.0407102227408751
"SLFNL1",26.3159408242042,0.962508233518717,0.273952618970919,3.51341132322188,0.000442392053704287,0.00824688705193241
"PPCS",158.145016302244,-0.303543365365016,0.109940803837816,-2.76097094771839,0.00576298026329965,0.0433558150712019
"ZMYND12",25.0602912267697,-0.99133939696982,0.254879577366502,-3.88944225038608,0.000100474873751019,0.00327727860098964
"C1orf50",110.568307874007,-0.345160168302799,0.0875499414907631,-3.94243745256203,8.06576888674925e-05,0.00281656511093782
"PPIH",83.4621777302954,-0.450491303444215,0.133054576167506,-3.38576331923436,0.000709805742471029,0.0114726840071826
"CLDN19",3.91645537352567,2.20690370941045,0.547112322262514,4.03373058805198,5.48982569913798e-05,0.00223380669515643
"EBNA1BP2",405.492057240718,-0.508899505375697,0.149945222941717,-3.39390275589841,0.000689041552932716,0.0112194309062569
"ATP6V0B",722.191869719114,-0.419959517407954,0.148328462004632,-2.83128073824994,0.00463620084042735,0.0379551485774557
"DPH2",220.067101217406,-0.612164288247137,0.112654000037059,-5.43402176616685,5.50978555193784e-08,3.11948315706287e-05
"UROD",510.186825095821,-0.384782494460899,0.106495435958784,-3.61313600903816,0.000302515918032226,0.00648285303572548
"RPS15AP10",22.5146895447969,0.633167815428237,0.232226201325799,2.72651325222316,0.00640073822681873,0.0463247000374872
"LRRC41",901.838828476318,-0.247574051638067,0.0687744409754704,-3.59979736842018,0.000318465252092874,0.00671351854837489
"FAAHP1",20.5475196975833,1.60145032019041,0.29029821754984,5.51656959421551,3.45680636472518e-08,2.20967983623852e-05
"LINC01398",4.74679367519427,1.27264092134068,0.408565132085931,3.11490340559216,0.00184005155954044,0.0212237844609158
"MKNK1-AS1",43.1077864049424,0.53741733580313,0.199118415147452,2.69898359428563,0.00695516049171968,0.0490126103498995
"MOB3C",246.782618450995,0.50146007624151,0.127389048874177,3.93644572020321,8.26973143776705e-05,0.00285493028172111
"CYP4B1",8.89384830782922,1.37928749942226,0.418423503773984,3.29639106546771,0.000979355866340814,0.0142488368923712
"TAL1",132.427794164593,0.660013379886007,0.237380509094487,2.780402579823,0.00542915467923505,0.0416669748736335
"FOXD2-AS1",11.0876792245404,0.814727467296514,0.300335049759014,2.7127285608198,0.00667317438041586,0.04761815755215
"FOXD2",10.4057179362989,1.29130761387206,0.320904174600643,4.02396639270604,5.72260870130972e-05,0.00229553064828246
"BEND5",160.179521424223,-0.616663500405953,0.160461528382872,-3.84306136567859,0.000121509070905185,0.00364821780160175
"CDKN2C",133.141685214381,0.52268551138455,0.178547023887626,2.92743894579569,0.00341766155364786,0.0315303316961378
"TXNDC12",300.384921861019,-0.440007572753807,0.10811128809251,-4.06995033097097,4.70231618812079e-05,0.0020569778716071
"BTF3L4",297.910403135357,-0.534993996292969,0.169361116832138,-3.15889506576192,0.00158368501040981,0.0191940686032298
"COA7",188.353816651135,-0.441501612582057,0.159787629956255,-2.76305251353267,0.00572635526104687,0.043162212192052
"MAGOH",78.2489451439431,-0.393859118348853,0.145337633172732,-2.70995962814914,0.00672913982753003,0.0479312130921406
"DIO1",21.8409643768436,0.711711498160394,0.217179850160137,3.27706045305592,0.00104893908367176,0.0148788667731136
"TMEM59",1583.89437604307,-0.564669117458293,0.194850620203745,-2.89795904610336,0.00375599632054375,0.0334901507845378
"SSBP3-AS1",96.7836084636939,0.877455236982127,0.201209733762587,4.36089855383171,1.29529414240216e-05,0.000919983825298967
"MRPL37",361.336915638604,-0.320374761732865,0.113746335611669,-2.81657215601765,0.0048539138345583,0.0387752286960513
"FAM151A",50.4122788859852,1.29140344225835,0.350507279985487,3.68438407987366,0.000229256329682729,0.00542782925772512
"DHCR24",3204.86492819905,-0.510968111972192,0.176443702317669,-2.89592717257908,0.00378040121718966,0.0336231734828682
"MYSM1",868.102701813111,-0.356695240086931,0.10066325095514,-3.54345043203393,0.000394927543020932,0.0076649208545571
"MGC34796",5.26302998379253,2.47773817423111,0.667080799456875,3.71429994124916,0.000203766996643332,0.00500493149050008
"GADD45A",351.312121536968,-1.09996767703531,0.299375567156375,-3.67420657431523,0.000238589650965612,0.0055753449569983
"KYAT3",156.666923316489,-0.738763819345896,0.201478327239261,-3.66671606553787,0.000245685334571203,0.00566763747364721
"GBP6",8.82300727601364,-1.29168563906495,0.387358481375543,-3.3346001215155,0.000854221424142603,0.0129413239608638
"LOC100129046",22.9885672686559,0.805551777246666,0.210916783701952,3.81928722365213,0.000133837850068189,0.00387630102645531
"DNTTIP2",469.016895924348,-0.288584988424531,0.101282614776388,-2.84930428644313,0.00438149534987709,0.0367322743349039
"F3",1040.05410614527,-1.16935489251311,0.31380157823551,-3.72641495013609,0.000194222566238014,0.00488415529514274
"ALG14",52.4481825785494,-0.55109101547574,0.189458361886639,-2.9087711409934,0.00362852376563625,0.0327277318797669
"AGL",563.468143802467,-0.520927488135062,0.16000002003844,-3.25579639308739,0.00113074806964181,0.015579068088202
"RTCA",293.974312965556,-0.449031940334716,0.133640419940218,-3.3600009677879,0.000779421994840897,0.012228841052864
"HENMT1",113.995721410519,-0.643263622714502,0.22629037374767,-2.84264687030739,0.00447406117204747,0.0371264640641929
"PRPF38B",610.705828086716,0.419123424114074,0.109967291585634,3.81134624733111,0.000138212011722263,0.00395210566275377
"SARS",2094.8974324654,-0.491812934513957,0.133396404645033,-3.68685299894452,0.000227044421564137,0.00540109514731686
"PSMA5",346.617445914108,-0.877423220092811,0.178511817488511,-4.91521083834845,8.86869625067936e-07,0.000158879279749002
