"","logFC","logCPM","LR","PValue","FDR"
"ARGFXP2",-1.13427958458251,1.62973656966684,20.900096935901,4.83870108701563e-06,0.000610724208536954
"HDAC4",-0.491875040355725,7.25525433578767,20.8465448072455,4.97589072147194e-06,0.000615004811025784
"TXN",0.627283703925297,4.64390320550862,20.8324010349859,5.01277140027229e-06,0.000615004811025784
"NFKBIA",-0.627084780136615,5.96242748274733,20.8271759519903,5.0264653857895e-06,0.000615004811025784
"C7orf61",-1.38111295418754,2.24975059701595,20.8266817271361,5.02776260059688e-06,0.000615004811025784
"LOC284933",-1.83496537003063,2.24300154645747,20.8266695067107,5.02779468036824e-06,0.000615004811025784
"LOC101930370",-0.859406373987305,2.38141845552959,20.8073432917994,5.07878574644172e-06,0.000617430787432448
"EIF5AL1",0.669874714775384,2.88058078085744,20.7910852019583,5.12208350876099e-06,0.000618897602497609
"EMD",0.577380915906125,4.32505120834967,20.7662810207814,5.18885565150041e-06,0.000621988448790029
"MPV17L2",0.654859776414095,2.80622669526064,20.7503860110032,5.23210315414484e-06,0.000621988448790029
"SNRNP48",-0.645836319424444,3.53823865057809,20.7468298084329,5.24182836838589e-06,0.000621988448790029
"QRICH2",-1.02188231152928,4.86012870865946,20.7073673403564,5.35097254240954e-06,0.000628909923534268
"PRR34-AS1",-1.09557524857179,2.41786980752121,20.7002629852246,5.37086248135173e-06,0.000628909923534268
"LOC101929715",1.12881784140853,-0.102333953727489,20.691544904065,5.3953717703283e-06,0.000628909923534268
"DDB1",0.545735570689306,7.75260810136515,20.6294539863106,5.57320648294727e-06,0.000645840115006334
"HECTD2-AS1",1.659752912822,-0.542526444547302,20.5672167204168,5.75736515196187e-06,0.000663302022391142
"FAM162A",0.749683026212332,4.37133867258098,20.5533621890623,5.79918458341258e-06,0.000664258044537016
"CAPNS1",0.678028176456273,7.03131057469403,20.5209310499545,5.89827296769679e-06,0.000671725155907354
"RNASEH2C",-0.528894022607795,4.92155159303251,20.4943694562414,5.98069249113302e-06,0.000675775893574374
"LINC01134",-2.06499997357347,-1.01249630148644,20.4875474944903,6.00204669303037e-06,0.000675775893574374
"CDC123",0.586634783870122,4.54964358288916,20.4732081251794,6.04718181564615e-06,0.000677011044400249
"NDUFB5",0.727612415215907,4.76267320129575,20.3815907830492,6.3437125715854e-06,0.000703375618445385
"PHB2",0.461879319288337,5.4271869505563,20.3711719650955,6.37834560502217e-06,0.000703375618445385
"MIR5690",-1.50521154564776,-0.534684195491824,20.3679299980449,6.38916084578973e-06,0.000703375618445385
"TMEM265",-0.653222184464789,2.96973709266859,20.3358659029133,6.49712342462882e-06,0.000711309380013507
"CALML4",-0.669057858646559,3.17118828228145,20.3052124214877,6.60204817503308e-06,0.000718825201299206
"DDOST",0.510148974183969,5.51037354011335,20.2499515385246,6.79551838402129e-06,0.000735846952446808
"CEP152",-0.747454743809382,3.27674547555661,20.1827352980167,7.0385330008438e-06,0.000758019401873482
"PDE10A",0.666990473571481,4.19849283955525,20.1491485369007,7.16321275397406e-06,0.000767276886122972
"LETMD1",0.522659227113891,4.94177446384881,20.1298580028881,7.23582238545679e-06,0.000770887399947375
"LRRC14B",2.50269089026212,-1.57849753877399,20.075302033141,7.44519581324655e-06,0.000788951872916009
"NINL",-0.8491526831055,5.02851446830317,20.0403747750304,7.58242115993979e-06,0.000799219455879611
"DTD1",0.64572962011985,4.66027368945664,19.9887209222638,7.79003170899469e-06,0.000808189481386995
"ACTG1",0.771806541975625,9.68803123237509,19.9884421707383,7.79116742827228e-06,0.000808189481386995
"EXOC3-AS1",0.816797372915563,2.28641058321169,19.9813395492823,7.82016183228562e-06,0.000808189481386995
"CCDC102A",-1.03342591284935,1.93155537634254,19.9787741106609,7.83066110346705e-06,0.000808189481386995
"KRT5",2.25862844646527,-0.1533362843244,19.8998592603255,8.16063324366241e-06,0.000837881390447742
"MDGA1",-1.60583211234788,5.7857752004546,19.8505447455777,8.37388664571962e-06,0.000855345040059691
"LHX1",-3.71940097238623,0.597137991138409,19.733151008012,8.9043260570214e-06,0.000904862180235569
"RNF181",0.604832481914163,4.11874394727325,19.7061147455734,9.03119259902819e-06,0.000913072002767055
